datetime,dailyid,dayofweek,os,home_countryname,plmn,plmn_countryname,setting_currency,setting_language,setting_country,logtype_category,logtype_subcategory,accuracy,speed,estimated_speed_flag,course,estimated_course_flag,prefcode,citycode,mesh100mid,home_prefcode,home_citycode,workplace_prefcode,workplace_citycode,transportation_type,gender,longitude,latitude,previous_datetime,previous_interval_s,next_interval_s,distance_m,speed_calc_kmh,mesh1kmid,state
2018/10/02 3:35:00,f412e7996e639878ea3d5b8a89d9f533d2cc30a9ddf6a575f5f72d6a58acffd5937e87c09270a788a9f2f5273227207d,2,Android,Japan,44010,Japan,,ja,,,,16.1,0,2,,,37,37387,5133370734,37,37387,37,37201,,na,133.968267,34.253318,2018/10/02 3:29:00,360,-360,0,0,51333707,Stay
2018/10/02 3:41:00,f412e7996e639878ea3d5b8a89d9f533d2cc30a9ddf6a575f5f72d6a58acffd5937e87c09270a788a9f2f5273227207d,2,Android,Japan,44010,Japan,,ja,,,,16.9,0,2,,,37,37387,5133370734,37,37387,37,37201,,na,133.968267,34.253318,2018/10/02 3:35:00,360,-300,0,0,51333707,Stay
2018/10/02 3:18:00,f412e7996e639878ea3d5b8a89d9f533d2cc30a9ddf6a575f5f72d6a58acffd5937e87c09270a788a9f2f5273227207d,2,Android,Japan,44010,Japan,,ja,,,,17.6,0,2,,,37,37387,5133370734,37,37387,37,37201,,na,133.968267,34.253318,2018/10/02 3:12:00,360,-300,0,0,51333707,Stay
2018/10/02 3:23:00,f412e7996e639878ea3d5b8a89d9f533d2cc30a9ddf6a575f5f72d6a58acffd5937e87c09270a788a9f2f5273227207d,2,Android,Japan,44010,Japan,,ja,,,,16,0,2,,,37,37387,5133370734,37,37387,37,37201,,na,133.968267,34.253318,2018/10/02 3:18:00,300,-360,0,0,51333707,Stay
2018/10/02 3:52:00,f412e7996e639878ea3d5b8a89d9f533d2cc30a9ddf6a575f5f72d6a58acffd5937e87c09270a788a9f2f5273227207d,2,Android,Japan,44010,Japan,,ja,,,,16.9,0,2,,,37,37387,5133370734,37,37387,37,37201,,na,133.968267,34.253318,2018/10/02 3:46:00,360,-480,0,0,51333707,Stay
2018/10/02 3:29:00,f412e7996e639878ea3d5b8a89d9f533d2cc30a9ddf6a575f5f72d6a58acffd5937e87c09270a788a9f2f5273227207d,2,Android,Japan,44010,Japan,,ja,,,,16.4,0,2,,,37,37387,5133370734,37,37387,37,37201,,na,133.968267,34.253318,2018/10/02 3:23:00,360,-360,0,0,51333707,Stay
2018/10/02 3:12:00,f412e7996e639878ea3d5b8a89d9f533d2cc30a9ddf6a575f5f72d6a58acffd5937e87c09270a788a9f2f5273227207d,2,Android,Japan,44010,Japan,,ja,,,,22.5,0,2,,,37,37387,5133370734,37,37387,37,37201,,na,133.968267,34.253318,2018/10/02 3:00:00,720,-360,0,0,51333707,Stay
2018/10/02 3:00:00,f412e7996e639878ea3d5b8a89d9f533d2cc30a9ddf6a575f5f72d6a58acffd5937e87c09270a788a9f2f5273227207d,2,Android,Japan,44010,Japan,,ja,,,,16.1,0,2,,,37,37387,5133370734,37,37387,37,37201,,na,133.968267,34.253318,2018/10/02 2:55:00,300,-720,0,0,51333707,Stay
2018/10/02 3:46:00,f412e7996e639878ea3d5b8a89d9f533d2cc30a9ddf6a575f5f72d6a58acffd5937e87c09270a788a9f2f5273227207d,2,Android,Japan,44010,Japan,,ja,,,,16.4,0,2,,,37,37387,5133370734,37,37387,37,37201,,na,133.968267,34.253318,2018/10/02 3:41:00,300,-360,0,0,51333707,Stay
2018/10/02 3:00:00,f73923bb05bf825be05572bfd2f1f06205c2799f676620c409cc514ab8f2616967ae80dbb660f2fa92b77847dfe77d9d,2,Android,Japan,44010,Japan,,ja,,,,36.9,0,2,,,37,37387,5133370781,37,37387,34,34105,,m,133.964613,34.25687,2018/10/02 2:58:00,120,-3180,0,0,51333707,Stay
2018/10/02 3:53:00,f73923bb05bf825be05572bfd2f1f06205c2799f676620c409cc514ab8f2616967ae80dbb660f2fa92b77847dfe77d9d,2,Android,Japan,44010,Japan,,ja,,,,44.002,0,2,131.057,2,37,37387,5133370781,37,37387,34,34105,,m,133.964613,34.25687,2018/10/02 3:00:00,3180,-7440,0,0,51333707,Stay
2018/10/02 3:15:00,f7d737ee6c978d97a3cf003633acbe8b8abd626f1192ac1db19ddc5df9cf9d9870a94b420e9a3836f47347e7dfcb5e8b,2,Android,Japan,44020,Japan,,ja,,,,16,0,2,,,37,37387,5133370874,37,37387,37,37201,,na,133.980013,34.256656,2018/10/02 2:18:00,3420,-1860,0,0,51333708,Stay
2018/10/02 3:46:00,f7d737ee6c978d97a3cf003633acbe8b8abd626f1192ac1db19ddc5df9cf9d9870a94b420e9a3836f47347e7dfcb5e8b,2,Android,Japan,44020,Japan,,ja,,,,16,0,2,,,37,37387,5133370874,37,37387,37,37201,,na,133.980013,34.256656,2018/10/02 3:15:00,1860,-960,0,0,51333708,Stay
2018/10/02 3:08:00,ffbb96f8550d489aaf041ee256e78125cc930a213719e7cf8e47a9c0612e29aaa521e52a1ee1a40674acb8c6fe56fb98,2,Android,Japan,44051,Japan,,ja,,,,16,0,2,,,37,37201,5133371883,37,37387,37,37201,,m,133.979086,34.265608,2018/10/02 3:02:00,360,-60,0,0,51333718,Stay
2018/10/02 3:42:00,ffbb96f8550d489aaf041ee256e78125cc930a213719e7cf8e47a9c0612e29aaa521e52a1ee1a40674acb8c6fe56fb98,2,Android,Japan,44051,Japan,,ja,,,,4.288,0.07,2,336.481,2,37,37201,5133371883,37,37387,37,37201,,m,133.979127,34.265513,2018/10/02 3:39:00,180,-180,11.2153473,0.224306946,51333718,Stay
2018/10/02 3:33:00,ffbb96f8550d489aaf041ee256e78125cc930a213719e7cf8e47a9c0612e29aaa521e52a1ee1a40674acb8c6fe56fb98,2,Android,Japan,44051,Japan,,ja,,,,16,0,2,,,37,37201,5133371883,37,37387,37,37201,,m,133.979086,34.265608,2018/10/02 3:29:00,240,-360,0,0,51333718,Stay
2018/10/02 3:27:00,ffbb96f8550d489aaf041ee256e78125cc930a213719e7cf8e47a9c0612e29aaa521e52a1ee1a40674acb8c6fe56fb98,2,Android,Japan,44051,Japan,,ja,,,,16,0,2,,,37,37201,5133371883,37,37387,37,37201,,m,133.979086,34.265608,2018/10/02 3:21:00,360,-120,0,0,51333718,Stay
2018/10/02 3:02:00,ffbb96f8550d489aaf041ee256e78125cc930a213719e7cf8e47a9c0612e29aaa521e52a1ee1a40674acb8c6fe56fb98,2,Android,Japan,44051,Japan,,ja,,,,16,0,2,,,37,37201,5133371883,37,37387,37,37201,,m,133.979086,34.265608,2018/10/02 2:58:00,240,-360,0,0,51333718,Stay
2018/10/02 3:29:00,ffbb96f8550d489aaf041ee256e78125cc930a213719e7cf8e47a9c0612e29aaa521e52a1ee1a40674acb8c6fe56fb98,2,Android,Japan,44051,Japan,,ja,,,,20,0,2,,,37,37201,5133371883,37,37387,37,37201,,m,133.979086,34.265608,2018/10/02 3:27:00,120,-240,0,0,51333718,Stay
2018/10/02 3:51:00,ffbb96f8550d489aaf041ee256e78125cc930a213719e7cf8e47a9c0612e29aaa521e52a1ee1a40674acb8c6fe56fb98,2,Android,Japan,44051,Japan,,ja,,,,16,0,2,,,37,37201,5133371883,37,37387,37,37201,,m,133.979086,34.265608,2018/10/02 3:45:00,360,-420,0,0,51333718,Stay
2018/10/02 3:09:00,ffbb96f8550d489aaf041ee256e78125cc930a213719e7cf8e47a9c0612e29aaa521e52a1ee1a40674acb8c6fe56fb98,2,Android,Japan,44051,Japan,,ja,,,,16,0,2,,,37,37201,5133371883,37,37387,37,37201,,m,133.979086,34.265608,2018/10/02 3:08:00,60,-300,0,0,51333718,Stay
2018/10/02 3:14:00,ffbb96f8550d489aaf041ee256e78125cc930a213719e7cf8e47a9c0612e29aaa521e52a1ee1a40674acb8c6fe56fb98,2,Android,Japan,44051,Japan,,ja,,,,16,0,2,,,37,37201,5133371883,37,37387,37,37201,,m,133.979086,34.265608,2018/10/02 3:09:00,300,-420,0,0,51333718,Stay
2018/10/02 3:45:00,ffbb96f8550d489aaf041ee256e78125cc930a213719e7cf8e47a9c0612e29aaa521e52a1ee1a40674acb8c6fe56fb98,2,Android,Japan,44051,Japan,,ja,,,,16,0.053,2,,,37,37201,5133371883,37,37387,37,37201,,m,133.979086,34.265608,2018/10/02 3:42:00,180,-360,11.2153473,0.224306946,51333718,Stay
2018/10/02 3:58:00,ffbb96f8550d489aaf041ee256e78125cc930a213719e7cf8e47a9c0612e29aaa521e52a1ee1a40674acb8c6fe56fb98,2,Android,Japan,44051,Japan,,ja,,,,16,0,2,,,37,37201,5133371883,37,37387,37,37201,,m,133.979086,34.265608,2018/10/02 3:51:00,420,-120,0,0,51333718,Stay
2018/10/02 3:39:00,ffbb96f8550d489aaf041ee256e78125cc930a213719e7cf8e47a9c0612e29aaa521e52a1ee1a40674acb8c6fe56fb98,2,Android,Japan,44051,Japan,,ja,,,,16,0,2,156.481,2,37,37201,5133371883,37,37387,37,37201,,m,133.979086,34.265608,2018/10/02 3:33:00,360,-180,0,0,51333718,Stay
2018/10/02 3:21:00,ffbb96f8550d489aaf041ee256e78125cc930a213719e7cf8e47a9c0612e29aaa521e52a1ee1a40674acb8c6fe56fb98,2,Android,Japan,44051,Japan,,ja,,,,16,0,2,,,37,37201,5133371883,37,37387,37,37201,,m,133.979086,34.265608,2018/10/02 3:14:00,420,-360,0,0,51333718,Stay
2018/10/02 3:43:00,fb583751a615ef0996f59bb9e14e25fec76f03290484c068aee43976f29dbfdd25bb05c1fd6e00b076b4231e56170c56,2,Android,Japan,44010,Japan,,ja,,,,14.472,0.011,2,,,32,32201,5333105581,37,37404,37,37204,,na,133.064,35.46545,2018/10/02 3:13:00,1800,-1800,7.017533318,0.01403506664,53331055,Stay
2018/10/02 3:13:00,fb583751a615ef0996f59bb9e14e25fec76f03290484c068aee43976f29dbfdd25bb05c1fd6e00b076b4231e56170c56,2,Android,Japan,44010,Japan,,ja,,,,14.508,0.018,2,,,32,32201,5333105581,37,37404,37,37204,,na,133.064038,35.465395,2018/10/02 2:44:00,1740,-1800,5.353024334,0.01107522276,53331055,Stay
